date,user_id,detail_id
2/4/2022,01GSTC028N5AP11TWQH4RNCGPZ,01GSTC028P2PRZ05TGN6PA8MPW
1/6/2022,01GSTC028Q1G55MSYJMD6ADZV7,01GSTC028QG1BQFHC3T6MDSA01
1/16/2022,01GSTC028R2VC8V79HJT8JQ8ED,01GSTC028SASJ4ABGFHB60S47K
9/8/2022,01GSTC028TKV5TAPRMCC7MXXB3,01GSTC028TJK7K2E4MEYXDYG6S
6/24/2022,01GSTC028WMQQVX3N7D6FWS3X7,01GSTC028WWYZ994E16C450836
8/26/2022,01GSTC028XTFBNPCJG7YP4EHV6,01GSTC028YE3GFZEVNPKNPHH0M
7/18/2022,01GSTC028Z8R9CR6520E3VTGQM,01GSTC028ZMV206YC2RDCQ4Q57
6/17/2022,01GSTC0290ZXHY8F15A9FNQYY9,01GSTC0290FAFKCAHDW013QC27
1/9/2023,01GSTC0291NB66D1T3AWJXXCMM,01GSTC02918Y76GJF5H8KX3R3K
4/19/2022,01GSTC0292VRAAYNWDG6FT2V9M,01GSTC0293VMFSX6RNHEYCZ0YT
6/2/2022,01GSTC0293PVZQATW7TA1ZVN79,01GSTC0293E9S3Z1A9V2D5ZTTP
6/12/2022,01GSTC0294FCRT52SAHTSVKT6N,01GSTC0295GP1K9GEWY3622ZCB
12/30/2022,01GSTC0295N8X6FS0RHYPR63AK,01GSTC0296SFBNW0MXWFX4S1G3
3/15/2022,01GSTC02975SGD2QSYYMM9RN86,01GSTC02972GVTMH470CE4P3MV
6/7/2022,01GSTC029891B1ZJKDRYFFR1MR,01GSTC0298NRX4PFKAERF23YRQ
7/7/2022,01GSTC0299M2Z07Y3MG48EYRQ0,01GSTC029914PKQJ1NSPT3QNZQ
2/4/2022,01GSTC029A04NXCBEKHTJG006H,01GSTC029BY0G9TS1RR93ZTSJF
1/2/2023,01GSTC029BMBFREPXM3KCZWCB1,01GSTC029CZJ4Q1DJ3ZGCFWBDK
3/31/2022,01GSTC029CPX6RZJ0WCS7CP7YZ,01GSTC029DF0E7Z42H0BGKNG1P
7/30/2022,01GSTC029D69T1JB637BA23013,01GSTC029D5604T11P6TEV4H2V
9/9/2022,01GSTC029ERCQ1CXMSQ264XHW3,01GSTC029ESSDK46G4HCNJ0NMM
7/4/2022,01GSTC029F3WY0D7CXH0EWW3WE,01GSTC029FPH5R79SR2D5JJDTG
8/12/2022,01GSTC029GWTQ7GEV5BESFWW59,01GSTC029GZ818MC1VBA4CTG9M
8/23/2022,01GSTC029HTM9FNNMT8ZBXYP3E,01GSTC029HGVGPXXNRQSN2BXQS
1/6/2022,01GSTC029J5MG6T6M3VKKFV7MQ,01GSTC029J761XAM8YW7C3K7SW
7/6/2022,01GSTC029KN6XRKXPG2EMMP73E,01GSTC029K8754CXQ6VWDZNS73
1/17/2022,01GSTC029MQ9FPFJVP31TGXPP4,01GSTC029MPFKRRCEAVP89CAKH
5/30/2022,01GSTC029NV1P69RBC3XXTAQ47,01GSTC029PJK53D1K1CFKWNAYF
2/19/2023,01GSTC029Q20XHTSTGFVGGYEB2,01GSTC029RG5GG2MH3CYDC86T1
12/30/2022,01GSTC029SNZQ1343P7P1AWMP3,01GSTC029SRDBQ9BGFGJBZG7SN
11/11/2022,01GSTC029TDFTD5YEGFPZ3RC75,01GSTC029VMNTC8Z90YKXNMKXY
3/27/2022,01GSTC029W935SCDYYJZYBW03D,01GSTC029XN9EQ787MPHCQMS75
1/9/2023,01GSTC029Y5VVMN8QVGAGATG49,01GSTC029Y2FVM562C2D0ZRE1Q
3/7/2022,01GSTC02A0HZ63WFJKTJYNM5J4,01GSTC02A0G8D2EQXN2080XYNG
1/24/2023,01GSTC02A1XW6RSSKM9DJTFTCT,01GSTC02A26MBHVW4CXKYEMQR8
2/9/2022,01GSTC02A3K5NXH8MEC7PEA2ZJ,01GSTC02A3S6VPF0AX9JRHWRAM
12/2/2022,01GSTC02A4XTVTSR1PK2PDE2PK,01GSTC02A5PBHMNCJD8KDX59XT
12/6/2022,01GSTC02A6J0SCPZ72R29B3ABD,01GSTC02A7A9PRDG4BQR6A0CC2
1/12/2022,01GSTC02A8GWFFC8GKW9EZZWB6,01GSTC02A8DEVBPV7Z8XA9BTQW
